epoch,train_loss,train_accuracy,eval_loss,eval_accuracy,epsilon,delta,learning_rate
1,2.298992,0.146518,2.277665,0.1955,2.850416,1e-05,0.13999999999999999
2,2.236243,0.259195,2.179874,0.3187,3.448272,1e-05,0.22999999999999995
3,2.070001,0.351746,1.976075,0.2486,3.930702,1e-05,0.31999999999999995
4,2.038795,0.267633,1.782663,0.3862,4.352576,1e-05,0.4099999999999999
5,1.869749,0.338763,1.7728,0.3339,4.734434,1e-05,0.5
6,1.691029,0.397674,1.598866,0.4041,5.088902,1e-05,0.49986334167236446
7,1.518244,0.443379,1.360361,0.4994,5.419634,1e-05,0.4994535161233327
8,1.444462,0.48386,1.401864,0.4627,5.733515,1e-05,0.4987709714911256
9,1.322023,0.524129,1.300903,0.5238,6.033674,1e-05,0.4978164541282774
10,1.189047,0.57885,1.129142,0.5879,6.319149,1e-05,0.4965910077855104
11,1.185036,0.584079,1.123113,0.5949,6.594404,1e-05,0.4950959724704086
12,1.080091,0.624948,1.03147,0.6267,6.862597,1e-05,0.49333298298213907
13,1.014935,0.649418,0.845802,0.6931,7.120514,1e-05,0.4913039671238233
14,0.917972,0.685198,0.794328,0.7174,7.371791,1e-05,0.4890111435945127
15,0.898152,0.694281,0.777023,0.7314,7.617001,1e-05,0.48645701956307363
16,0.826583,0.725041,0.67722,0.7631,7.855573,1e-05,0.4836443879266353
17,0.771821,0.745854,0.653218,0.7776,8.088702,1e-05,0.48057632425659735
18,0.749172,0.756333,0.960178,0.6986,8.318807,1e-05,0.4772561834355382
19,0.744862,0.764902,0.655469,0.7823,8.540421,1e-05,0.47368759598869986
20,0.636992,0.797231,0.519671,0.8321,8.762035,1e-05,0.469874464114062
21,0.561176,0.825159,0.525726,0.8382,8.977069,1e-05,0.4658209574153456
22,0.551347,0.833592,0.581569,0.8222,9.187685,1e-05,0.4615315083426128
23,0.527767,0.844502,0.558832,0.8291,9.398302,1e-05,0.45701080734544763
24,0.49705,0.854118,0.543347,0.8394,9.603906,1e-05,0.45226379774401815
25,0.478093,0.861683,0.447738,0.8629,9.803998,1e-05,0.4472956703236286
26,0.448411,0.870043,0.381499,0.8865,10.00409,1e-05,0.44211185765867195
27,0.40523,0.88383,0.349268,0.8959,10.204182,1e-05,0.4367180281721893
28,0.384704,0.891925,0.483931,0.8586,10.396263,1e-05,0.4311200799375327
29,0.377083,0.895336,0.32057,0.9042,10.586265,1e-05,0.42532413422890847
30,0.351146,0.902541,0.316335,0.9105,10.776267,1e-05,0.419336528827854
31,0.3659,0.898978,0.296016,0.9148,10.966269,1e-05,0.41316381109296596
32,0.333795,0.908008,0.301058,0.9144,11.152209,1e-05,0.4068127308004606
33,0.324964,0.910168,0.27821,0.922,11.332521,1e-05,0.40029023276339215
34,0.31153,0.913607,0.295576,0.9195,11.512833,1e-05,0.39360344923760177
35,0.292532,0.920061,0.252193,0.9281,11.693145,1e-05,0.38675969212270067
36,0.303109,0.916806,0.293143,0.9207,11.873456,1e-05,0.37976644496661477
37,0.288725,0.922573,0.241524,0.9327,12.052094,1e-05,0.3726313547824355
38,0.276581,0.92612,0.235985,0.9349,12.223085,1e-05,0.36536222368652305
39,0.283653,0.923502,0.311504,0.9174,12.394076,1e-05,0.3579670003670063
40,0.272228,0.926401,0.230934,0.9361,12.565068,1e-05,0.3504537713920097
41,0.271635,0.928831,0.241034,0.9352,12.736059,1e-05,0.34283075236710925
42,0.268859,0.929051,0.233187,0.9347,12.90705,1e-05,0.33510627895168865
43,0.256854,0.932196,0.224936,0.9378,13.078041,1e-05,0.32728879774401815
44,0.255177,0.932821,0.220323,0.9396,13.24143,1e-05,0.3193868570450231
45,0.25911,0.931793,0.222079,0.9389,13.403442,1e-05,0.3114090975108428
46,0.252903,0.933808,0.213364,0.9408,13.565455,1e-05,0.3033642427043996
47,0.247351,0.934688,0.216813,0.9421,13.727468,1e-05,0.29526108955631086
48,0.250466,0.934627,0.212758,0.9412,13.88948,1e-05,0.2871084987455749
49,0.241088,0.937922,0.215955,0.9414,14.051493,1e-05,0.27891538501054813
50,0.248027,0.937388,0.214257,0.9418,14.213505,1e-05,0.2706907074008095
51,0.242994,0.937788,0.214484,0.9426,14.374536,1e-05,0.262443459480572
52,0.238065,0.938159,0.211506,0.9428,14.527888,1e-05,0.2541826594943513
53,0.243299,0.939228,0.212156,0.9432,14.681239,1e-05,0.24591734050564873
54,0.235558,0.939667,0.208879,0.9441,14.834591,1e-05,0.23765654051942817
55,0.231968,0.940417,0.20541,0.9444,14.987943,1e-05,0.2294092925991906
56,0.233963,0.940527,0.208545,0.9446,15.141295,1e-05,0.22118461498945205
57,0.241005,0.939694,0.206801,0.945,15.294646,1e-05,0.21299150125442512
58,0.228999,0.941063,0.204767,0.9455,15.447998,1e-05,0.20483891044368918
59,0.2263,0.941924,0.203603,0.9452,15.60135,1e-05,0.19673575729560053
60,0.223302,0.944094,0.204389,0.9456,15.754702,1e-05,0.1886909024891573
61,0.224499,0.942791,0.201469,0.9455,15.903376,1e-05,0.180713142954977
62,0.230847,0.94187,0.201921,0.9456,16.048363,1e-05,0.17281120225598198
63,0.221897,0.944102,0.200445,0.9458,16.193349,1e-05,0.16499372104831134
64,0.221169,0.942578,0.201487,0.9463,16.338336,1e-05,0.15726924763289074
65,0.228758,0.941861,0.200032,0.9463,16.483323,1e-05,0.14964622860799034
66,0.220814,0.944286,0.202079,0.9466,16.62831,1e-05,0.14213299963299375
67,0.214139,0.945,0.199673,0.9466,16.773296,1e-05,0.13473777631347705
68,0.21488,0.945373,0.200156,0.9469,16.918283,1e-05,0.1274686452175645
69,0.227385,0.942288,0.198642,0.9471,17.06327,1e-05,0.12033355503338529
70,0.215912,0.94471,0.200352,0.9477,17.208256,1e-05,0.11334030787729948
71,0.21595,0.94543,0.199385,0.9472,17.353243,1e-05,0.10649655076239828
72,0.212075,0.945555,0.198822,0.9471,17.49823,1e-05,0.09980976723660791
73,0.218744,0.944489,0.198402,0.9475,17.638388,1e-05,0.09328726919953945
74,0.219285,0.944051,0.198854,0.9473,17.775286,1e-05,0.08693618890703406
75,0.220419,0.944344,0.199272,0.9476,17.912184,1e-05,0.08076347117214609
76,0.215252,0.944612,0.197733,0.9476,18.049082,1e-05,0.07477586577109151
77,0.21728,0.944977,0.200836,0.9471,18.185979,1e-05,0.06897992006246735
78,0.214018,0.945079,0.199051,0.9477,18.322877,1e-05,0.06338197182781084
79,0.214186,0.945387,0.198199,0.9475,18.459775,1e-05,0.05798814234132808
80,0.209392,0.945965,0.199489,0.9473,18.596673,1e-05,0.05280432967637148
81,0.219384,0.94484,0.197134,0.9482,18.73357,1e-05,0.04783620225598194
82,0.213953,0.94529,0.19711,0.9479,18.870468,1e-05,0.04308919265455241
83,0.212041,0.94637,0.198321,0.9478,19.007366,1e-05,0.03856849165738724
84,0.222351,0.944379,0.196361,0.948,19.144264,1e-05,0.03427904258465442
85,0.210801,0.946685,0.197657,0.9479,19.281161,1e-05,0.03022553588593809
86,0.216308,0.945985,0.197686,0.9481,19.418059,1e-05,0.026412404011300177
87,0.216066,0.945527,0.196495,0.9484,19.554957,1e-05,0.022843816564461893
88,0.217975,0.945243,0.196194,0.9482,19.688818,1e-05,0.019523675743402687
89,0.213558,0.94562,0.198413,0.9477,19.817886,1e-05,0.016455612073364736
90,0.213337,0.945694,0.196002,0.948,19.946953,1e-05,0.013642980436926376
91,0.217449,0.945416,0.19599,0.9485,20.07602,1e-05,0.01108885640548731
92,0.218111,0.945376,0.19571,0.9482,20.205087,1e-05,0.008796032876176729
93,0.215077,0.945279,0.195709,0.9483,20.334154,1e-05,0.006767017017860967
94,0.215632,0.944645,0.195966,0.9482,20.463221,1e-05,0.005004027529591403
95,0.217874,0.94467,0.196716,0.9479,20.592288,1e-05,0.003508992214489556
96,0.208331,0.948147,0.196676,0.948,20.721355,1e-05,0.0022835458717225506
97,0.217462,0.945243,0.195986,0.9485,20.850422,1e-05,0.001329028508874397
98,0.217017,0.945741,0.196092,0.9481,20.979489,1e-05,0.0006464838766673053
99,0.220086,0.944728,0.196195,0.9481,21.108556,1e-05,0.0002366583276355341
100,0.213953,0.946016,0.196209,0.948,21.237623,1e-05,0.0001
