epoch,train_loss,train_accuracy,eval_loss,eval_accuracy,epsilon,delta,learning_rate
78,0.240942,0.93827,0.215674,0.9435,8.333546,1e-05,0.06338197182781084
79,0.241082,0.939215,0.215117,0.9442,8.394105,1e-05,0.05798814234132808
80,0.23549,0.939494,0.215814,0.9437,8.454664,1e-05,0.05280432967637148
81,0.246356,0.938356,0.21422,0.9436,8.515223,1e-05,0.04783620225598194
82,0.243507,0.939001,0.214287,0.9439,8.575781,1e-05,0.04308919265455241
83,0.238037,0.939587,0.214309,0.9448,8.63634,1e-05,0.03856849165738724
84,0.250208,0.938195,0.213209,0.9442,8.695247,1e-05,0.03427904258465442
85,0.235155,0.940452,0.214333,0.9443,8.75391,1e-05,0.03022553588593809
86,0.242284,0.939475,0.213753,0.9443,8.812572,1e-05,0.026412404011300177
87,0.242582,0.93907,0.212948,0.9443,8.871235,1e-05,0.022843816564461893
88,0.244334,0.939014,0.212664,0.9449,8.929897,1e-05,0.019523675743402687
89,0.239939,0.93933,0.21413,0.944,8.98856,1e-05,0.016455612073364736
90,0.239035,0.939653,0.212842,0.9442,9.047222,1e-05,0.013642980436926376
91,0.243062,0.939439,0.212376,0.9449,9.105881,1e-05,0.01108885640548731
92,0.245418,0.938356,0.212866,0.9447,9.162662,1e-05,0.008796032876176729
93,0.241799,0.93875,0.212241,0.9443,9.219443,1e-05,0.006767017017860967
94,0.242114,0.938622,0.212704,0.9444,9.276223,1e-05,0.005004027529591403
95,0.244797,0.938816,0.213223,0.9442,9.333004,1e-05,0.003508992214489556
96,0.233668,0.941463,0.213114,0.9441,9.389785,1e-05,0.0022835458717225506
97,0.244763,0.939115,0.212662,0.9443,9.446566,1e-05,0.001329028508874397
98,0.242775,0.939512,0.212713,0.9443,9.503346,1e-05,0.0006464838766673053
99,0.24535,0.939414,0.212806,0.9443,9.560127,1e-05,0.0002366583276355341
100,0.240204,0.939958,0.212797,0.9442,9.616807,1e-05,0.0001
