epoch,train_loss,train_accuracy,eval_loss,eval_accuracy,epsilon,delta,learning_rate
1,2.298985,0.146418,2.277651,0.1955,1.925076,1e-05,0.13999999999999999
2,2.236225,0.259395,2.179848,0.3189,2.357101,1e-05,0.22999999999999995
3,2.070036,0.35211,1.975334,0.2502,2.711789,1e-05,0.31999999999999995
4,2.088052,0.259659,2.171876,0.245,3.02357,1e-05,0.4099999999999999
5,1.85664,0.332499,1.659173,0.4346,3.306866,1e-05,0.5
6,1.747978,0.386127,1.494516,0.4479,3.5688,1e-05,0.49986334167236446
7,1.505582,0.459806,1.387656,0.4938,3.8138,1e-05,0.4994535161233327
8,1.439,0.488531,1.702507,0.3859,4.045905,1e-05,0.4987709714911256
9,1.331329,0.516558,1.210443,0.5492,4.266695,1e-05,0.4978164541282774
10,1.239642,0.565506,1.076054,0.6257,4.478529,1e-05,0.4965910077855104
11,1.150585,0.590869,1.138909,0.592,4.682242,1e-05,0.4950959724704086
12,1.094873,0.618633,1.013179,0.6523,4.878657,1e-05,0.49333298298213907
13,0.958338,0.674049,0.916852,0.6803,5.068593,1e-05,0.4913039671238233
14,1.010374,0.653663,0.80788,0.713,5.252875,1e-05,0.4890111435945127
15,0.880953,0.703063,0.945269,0.6731,5.432345,1e-05,0.48645701956307363
16,0.868807,0.712597,0.724839,0.7478,5.607874,1e-05,0.4836443879266353
17,0.785031,0.740781,0.647115,0.7816,5.77853,1e-05,0.48057632425659735
18,0.735875,0.762636,0.650553,0.7829,5.945157,1e-05,0.4772561834355382
19,0.737734,0.765783,0.956826,0.7166,6.10987,1e-05,0.47368759598869986
20,0.694748,0.782872,0.533266,0.828,6.268923,1e-05,0.469874464114062
21,0.592252,0.81498,0.51941,0.8352,6.427164,1e-05,0.4658209574153456
22,0.567229,0.827996,0.468278,0.8534,6.580629,1e-05,0.4615315083426128
23,0.58843,0.826368,0.555236,0.836,6.733782,1e-05,0.45701080734544763
24,0.523423,0.846418,0.468488,0.8618,6.88179,1e-05,0.45226379774401815
25,0.503393,0.853278,0.401375,0.8777,7.029798,1e-05,0.4472956703236286
26,0.440072,0.873423,0.409804,0.8778,7.174009,1e-05,0.44211185765867195
27,0.44145,0.874389,0.400666,0.8805,7.316686,1e-05,0.4367180281721893
28,0.391732,0.890136,0.336538,0.9024,7.459,1e-05,0.4311200799375327
29,0.421635,0.881925,0.348111,0.8947,7.596466,1e-05,0.42532413422890847
30,0.382804,0.89264,0.320153,0.909,7.733932,1e-05,0.419336528827854
31,0.373314,0.89685,0.34986,0.9007,7.870997,1e-05,0.41316381109296596
32,0.364273,0.898029,0.310346,0.9131,8.003365,1e-05,0.4068127308004606
33,0.334388,0.907511,0.317138,0.9088,8.135733,1e-05,0.40029023276339215
34,0.341769,0.905495,0.299236,0.9168,8.268101,1e-05,0.39360344923760177
35,0.310024,0.915315,0.274183,0.9192,8.397086,1e-05,0.38675969212270067
36,0.315138,0.912904,0.316943,0.9132,8.524464,1e-05,0.37976644496661477
37,0.314006,0.9164,0.263657,0.9253,8.651843,1e-05,0.3726313547824355
38,0.293087,0.920832,0.252498,0.9291,8.779221,1e-05,0.36536222368652305
39,0.302088,0.918606,0.308228,0.918,8.902725,1e-05,0.3579670003670063
40,0.285277,0.923108,0.246968,0.9316,9.025217,1e-05,0.3504537713920097
41,0.288289,0.923876,0.254,0.9303,9.14771,1e-05,0.34283075236710925
42,0.281786,0.924645,0.250346,0.9297,9.270203,1e-05,0.33510627895168865
43,0.273499,0.926773,0.239283,0.933,9.391107,1e-05,0.32728879774401815
44,0.269027,0.928982,0.233907,0.9352,9.508813,1e-05,0.3193868570450231
45,0.270039,0.928702,0.236225,0.9346,9.626519,1e-05,0.3114090975108428
46,0.265525,0.929534,0.22668,0.9366,9.744225,1e-05,0.3033642427043996
47,0.260462,0.930956,0.22877,0.9371,9.861931,1e-05,0.29526108955631086
48,0.261618,0.931216,0.226349,0.938,9.978796,1e-05,0.2871084987455749
49,0.253191,0.933764,0.228828,0.938,10.09181,1e-05,0.27891538501054813
50,0.260472,0.933997,0.226713,0.9381,10.204824,1e-05,0.2706907074008095
51,0.254678,0.934583,0.226873,0.9386,10.317838,1e-05,0.262443459480572
52,0.249197,0.934763,0.223926,0.938,10.430852,1e-05,0.2541826594943513
53,0.255047,0.935274,0.222991,0.939,10.543866,1e-05,0.24591734050564873
54,0.246661,0.937177,0.220615,0.9407,10.656003,1e-05,0.23765654051942817
55,0.243788,0.937733,0.21837,0.941,10.764416,1e-05,0.2294092925991906
56,0.247341,0.936767,0.220706,0.9407,10.872829,1e-05,0.22118461498945205
57,0.252032,0.937121,0.218651,0.9424,10.981242,1e-05,0.21299150125442512
58,0.241701,0.938173,0.216641,0.9421,11.089656,1e-05,0.20483891044368918
59,0.236686,0.939036,0.216082,0.9429,11.198069,1e-05,0.19673575729560053
60,0.23513,0.940792,0.215761,0.9426,11.306482,1e-05,0.1886909024891573
61,0.237191,0.939828,0.213707,0.9425,11.414069,1e-05,0.180713142954977
62,0.242586,0.939413,0.213131,0.9426,11.517968,1e-05,0.17281120225598198
63,0.236686,0.941042,0.211349,0.9428,11.621868,1e-05,0.16499372104831134
64,0.232456,0.940826,0.211909,0.9437,11.725767,1e-05,0.15726924763289074
65,0.239979,0.940039,0.211197,0.9438,11.829666,1e-05,0.14964622860799034
