epoch,train_loss,train_accuracy,eval_loss,eval_accuracy,epsilon,delta,learning_rate
1,2.298961,0.146219,2.277608,0.1947,0.866814,1e-05,0.13999999999999999
2,2.236198,0.259645,2.179869,0.3188,1.125712,1e-05,0.22999999999999995
3,2.070151,0.352806,1.968369,0.2619,1.337918,1e-05,0.31999999999999995
4,2.162542,0.243177,1.964304,0.3113,1.521011,1e-05,0.4099999999999999
5,2.051655,0.286434,1.845995,0.3399,1.686016,1e-05,0.5
6,1.841951,0.326162,1.770972,0.357,1.837421,1e-05,0.49986334167236446
7,1.637171,0.420312,1.464707,0.4862,1.978371,1e-05,0.4994535161233327
8,1.443537,0.491024,1.341317,0.532,2.110901,1e-05,0.4987709714911256
9,1.371523,0.508333,1.335855,0.5094,2.236595,1e-05,0.4978164541282774
10,1.246907,0.562689,1.255495,0.5488,2.3564,1e-05,0.4965910077855104
11,1.186086,0.582218,1.044938,0.6382,2.47116,1e-05,0.4950959724704086
12,1.164872,0.596816,1.135408,0.5894,2.581656,1e-05,0.49333298298213907
13,1.030276,0.647517,0.990636,0.6455,2.688313,1e-05,0.4913039671238233
14,1.016785,0.654396,0.935473,0.6675,2.791521,1e-05,0.4890111435945127
15,0.989007,0.666267,0.953325,0.6667,2.8917,1e-05,0.48645701956307363
16,0.840135,0.717621,1.014387,0.6681,2.989197,1e-05,0.4836443879266353
17,0.93104,0.696173,0.737496,0.7544,3.084025,1e-05,0.48057632425659735
18,0.736378,0.756029,0.676503,0.7714,3.17663,1e-05,0.4772561834355382
19,0.807664,0.743276,0.721408,0.7654,3.267209,1e-05,0.47368759598869986
20,0.742049,0.765356,0.639446,0.7886,3.355787,1e-05,0.469874464114062
21,0.667754,0.790057,0.619795,0.7994,3.442469,1e-05,0.4658209574153456
22,0.650017,0.80125,0.590456,0.8104,3.527505,1e-05,0.4615315083426128
23,0.604068,0.813509,0.545207,0.8328,3.611005,1e-05,0.45701080734544763
24,0.5852,0.824298,0.518364,0.8376,3.693056,1e-05,0.45226379774401815
25,0.574998,0.831239,0.46055,0.8561,3.77355,1e-05,0.4472956703236286
26,0.520391,0.847052,0.452138,0.8651,3.852756,1e-05,0.44211185765867195
27,0.512006,0.851238,0.417537,0.8763,3.930807,1e-05,0.4367180281721893
28,0.48186,0.861888,0.526939,0.8473,4.00784,1e-05,0.4311200799375327
29,0.514973,0.854969,0.4137,0.8808,4.083608,1e-05,0.42532413422890847
30,0.431232,0.878665,0.470033,0.8657,4.158227,1e-05,0.419336528827854
31,0.453532,0.872085,0.456733,0.8699,4.232145,1e-05,0.41316381109296596
32,0.445103,0.876406,0.388754,0.8895,4.30483,1e-05,0.4068127308004606
33,0.41163,0.886277,0.431276,0.8765,4.376693,1e-05,0.40029023276339215
34,0.414252,0.885499,0.368731,0.896,4.44785,1e-05,0.39360344923760177
35,0.38608,0.894419,0.372955,0.8905,4.517861,1e-05,0.38675969212270067
36,0.38104,0.895715,0.365218,0.8984,4.5875,1e-05,0.37976644496661477
37,0.384085,0.896596,0.322575,0.9063,4.655877,1e-05,0.3726313547824355
