dataset,total_runs,best_overall_run,best_overall_accuracy,best_private_run,best_private_accuracy,best_private_epsilon,best_non_private_run,best_non_private_accuracy,accuracy_gap_private_vs_non_private
cifar10,1,cifar10-dp-sgd/20260415-024451,0.4771,cifar10-dp-sgd/20260415-024451,0.4771,6.793568,,,
mnist,7,mnist-sgd/20260415-143213,0.9837,mnist-dp-sgd/20260415-015205,0.9485,21.237623,mnist-sgd/20260415-143213,0.9837,-0.03520000000000001
