epoch,train_loss,train_accuracy,eval_loss,eval_accuracy,epsilon,delta,learning_rate
1,2.298954,0.146153,2.277598,0.1944,0.722433,1e-05,0.13999999999999999
2,2.236207,0.259495,2.17991,0.3188,0.955531,1e-05,0.22999999999999995
3,2.070226,0.352855,1.964912,0.2682,1.142838,1e-05,0.31999999999999995
4,2.08959,0.258908,2.043341,0.2948,1.305741,1e-05,0.4099999999999999
5,1.912459,0.317469,1.70499,0.3792,1.450041,1e-05,0.5
6,1.766406,0.364996,1.627942,0.4267,1.582011,1e-05,0.49986334167236446
7,1.537197,0.453482,1.40117,0.5014,1.705352,1e-05,0.4994535161233327
8,1.455495,0.478009,1.316123,0.5371,1.821325,1e-05,0.4987709714911256
9,1.357518,0.512789,1.255018,0.5482,1.931188,1e-05,0.4978164541282774
10,1.205644,0.568175,1.20658,0.5613,2.035928,1e-05,0.4965910077855104
11,1.155743,0.596385,1.130646,0.5944,2.136197,1e-05,0.4950959724704086
12,1.08261,0.616645,0.996462,0.6553,2.2326,1e-05,0.49333298298213907
13,1.085504,0.630157,0.938124,0.6649,2.325636,1e-05,0.4913039671238233
14,0.977016,0.665701,0.761688,0.7271,2.415636,1e-05,0.4890111435945127
15,0.893194,0.69693,1.004883,0.662,2.502955,1e-05,0.48645701956307363
16,0.857646,0.71397,0.811291,0.7196,2.587855,1e-05,0.4836443879266353
17,0.829643,0.727043,0.788267,0.733,2.670545,1e-05,0.48057632425659735
18,0.762812,0.748125,0.603785,0.7958,2.751107,1e-05,0.4772561834355382
19,0.732079,0.763706,0.680424,0.7777,2.829932,1e-05,0.47368759598869986
20,0.696975,0.779981,0.600375,0.7983,2.906923,1e-05,0.469874464114062
21,0.620379,0.802959,0.527628,0.8308,2.982322,1e-05,0.4658209574153456
22,0.58941,0.81859,0.748668,0.7711,3.056281,1e-05,0.4615315083426128
23,0.621712,0.810464,0.529771,0.8336,3.128862,1e-05,0.45701080734544763
24,0.540236,0.838702,0.469209,0.8576,3.200129,1e-05,0.45226379774401815
25,0.555516,0.833846,0.410788,0.8747,3.270153,1e-05,0.4472956703236286
26,0.450372,0.868176,0.491283,0.8512,3.339006,1e-05,0.44211185765867195
27,0.534429,0.84415,0.374508,0.8843,3.406762,1e-05,0.4367180281721893
28,0.428499,0.877743,0.360304,0.8917,3.473504,1e-05,0.4311200799375327
29,0.413329,0.883129,0.442813,0.8708,3.539317,1e-05,0.42532413422890847
30,0.411444,0.883808,0.369653,0.8866,3.604291,1e-05,0.419336528827854
31,0.382902,0.891399,0.34149,0.9025,3.668192,1e-05,0.41316381109296596
32,0.406237,0.887617,0.371976,0.8934,3.731255,1e-05,0.4068127308004606
33,0.354214,0.900394,0.320308,0.9091,3.793686,1e-05,0.40029023276339215
34,0.344301,0.903609,0.324711,0.9065,3.855255,1e-05,0.39360344923760177
35,0.359574,0.89988,0.295058,0.914,3.916004,1e-05,0.38675969212270067
36,0.323222,0.91012,0.308442,0.911,3.976354,1e-05,0.37976644496661477
37,0.356225,0.90337,0.283059,0.9183,4.035612,1e-05,0.3726313547824355
38,0.312632,0.913385,0.269907,0.922,4.094541,1e-05,0.36536222368652305
39,0.332898,0.908962,0.36353,0.8991,4.152652,1e-05,0.3579670003670063
40,0.308776,0.914425,0.265465,0.9234,4.210308,1e-05,0.3504537713920097
41,0.311126,0.915226,0.278029,0.9209,4.267276,1e-05,0.34283075236710925
42,0.315374,0.91398,0.276412,0.9217,4.323818,1e-05,0.33510627895168865
43,0.292565,0.920688,0.253921,0.9275,4.379649,1e-05,0.32728879774401815
44,0.291728,0.920334,0.253602,0.9276,4.435246,1e-05,0.3193868570450231
45,0.29432,0.919562,0.255051,0.9276,4.489944,1e-05,0.3114090975108428
46,0.289405,0.921002,0.244543,0.9306,4.544643,1e-05,0.3033642427043996
47,0.28047,0.92356,0.245844,0.9307,4.598352,1e-05,0.29526108955631086
48,0.286276,0.92353,0.241933,0.9314,4.651923,1e-05,0.2871084987455749
49,0.281468,0.924731,0.251639,0.9304,4.705074,1e-05,0.27891538501054813
50,0.285957,0.925594,0.250883,0.9302,4.757524,1e-05,0.2706907074008095
51,0.281489,0.925753,0.242076,0.9344,4.809973,1e-05,0.262443459480572
52,0.276866,0.927122,0.241146,0.9343,4.861666,1e-05,0.2541826594943513
53,0.279165,0.927333,0.23849,0.9347,4.912998,1e-05,0.24591734050564873
54,0.272155,0.927999,0.237157,0.9344,4.96433,1e-05,0.23765654051942817
55,0.266249,0.929813,0.234719,0.9357,5.014809,1e-05,0.2294092925991906
56,0.270739,0.928244,0.235223,0.9357,5.065029,1e-05,0.22118461498945205
57,0.277629,0.929136,0.234441,0.9355,5.115248,1e-05,0.21299150125442512
58,0.266624,0.930907,0.23489,0.937,5.164781,1e-05,0.20483891044368918
59,0.260741,0.931894,0.231947,0.9372,5.213893,1e-05,0.19673575729560053
60,0.257323,0.933806,0.2331,0.9365,5.263006,1e-05,0.1886909024891573
61,0.262802,0.93152,0.231737,0.9372,5.311884,1e-05,0.180713142954977
62,0.266429,0.932192,0.2327,0.9372,5.359893,1e-05,0.17281120225598198
63,0.260278,0.932979,0.230157,0.9379,5.407903,1e-05,0.16499372104831134
64,0.257299,0.932482,0.230969,0.9381,5.455912,1e-05,0.15726924763289074
65,0.265191,0.931681,0.228152,0.938,5.503358,1e-05,0.14964622860799034
66,0.254715,0.934739,0.229472,0.9389,5.550269,1e-05,0.14213299963299375
67,0.251081,0.934493,0.227938,0.9385,5.597181,1e-05,0.13473777631347705
68,0.252367,0.934214,0.227201,0.9378,5.644092,1e-05,0.1274686452175645
69,0.265868,0.932797,0.226704,0.9393,5.690467,1e-05,0.12033355503338529
70,0.251246,0.93437,0.226552,0.9382,5.736285,1e-05,0.11334030787729948
71,0.251803,0.935689,0.227075,0.9394,5.782103,1e-05,0.10649655076239828
72,0.248015,0.936173,0.224447,0.9396,5.827922,1e-05,0.09980976723660791
73,0.253752,0.935561,0.225484,0.9397,5.873624,1e-05,0.09328726919953945
74,0.258011,0.933276,0.226455,0.9395,5.918353,1e-05,0.08693618890703406
75,0.253573,0.935316,0.224969,0.941,5.963083,1e-05,0.08076347117214609
76,0.254458,0.934681,0.225514,0.9397,6.007813,1e-05,0.07477586577109151
77,0.252476,0.93514,0.22723,0.9404,6.052542,1e-05,0.06897992006246735
78,0.250395,0.934907,0.226093,0.9403,6.096929,1e-05,0.06338197182781084
79,0.250224,0.935609,0.224832,0.9405,6.140575,1e-05,0.05798814234132808
80,0.24404,0.935712,0.225305,0.9405,6.18422,1e-05,0.05280432967637148
81,0.254824,0.935297,0.225045,0.9407,6.227866,1e-05,0.04783620225598194
82,0.250942,0.936449,0.224743,0.9404,6.271512,1e-05,0.04308919265455241
83,0.24853,0.935704,0.225075,0.9408,6.315082,1e-05,0.03856849165738724
84,0.259189,0.934702,0.223512,0.9406,6.357648,1e-05,0.03427904258465442
85,0.244046,0.937278,0.223743,0.9407,6.400215,1e-05,0.03022553588593809
86,0.251645,0.936303,0.224607,0.9401,6.442781,1e-05,0.026412404011300177
87,0.25348,0.935475,0.222341,0.9408,6.485347,1e-05,0.022843816564461893
88,0.253545,0.935577,0.222751,0.9404,6.527914,1e-05,0.019523675743402687
89,0.250111,0.935869,0.22371,0.9411,6.570148,1e-05,0.016455612073364736
90,0.247562,0.936732,0.222823,0.9408,6.61164,1e-05,0.013642980436926376
91,0.251222,0.936459,0.222164,0.9407,6.653131,1e-05,0.01108885640548731
92,0.253196,0.935414,0.222429,0.9405,6.694623,1e-05,0.008796032876176729
93,0.250403,0.935878,0.221802,0.9408,6.736115,1e-05,0.006767017017860967
94,0.252507,0.93449,0.222576,0.9406,6.777606,1e-05,0.005004027529591403
95,0.254526,0.935571,0.222842,0.9412,6.819098,1e-05,0.003508992214489556
96,0.242557,0.938421,0.222735,0.9413,6.859557,1e-05,0.0022835458717225506
97,0.255941,0.935491,0.222401,0.9407,6.899978,1e-05,0.001329028508874397
98,0.254023,0.936398,0.222343,0.9408,6.9404,1e-05,0.0006464838766673053
99,0.256714,0.935432,0.22241,0.941,6.980821,1e-05,0.0002366583276355341
100,0.248281,0.936554,0.222389,0.941,7.021243,1e-05,0.0001
